Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Province,Marker
Sex,Male,2013,gs1datot,721.3103580077207,14.45839437328911,516.9059174726666,925.7147985427747,834,Total amount of donations,Average total amount of donations,PR,NA,
Sex,Female,2013,gs1datot,665.0545216600756,6.9972160880203225,573.8470057623176,756.2620375578335,1068,Total amount of donations,Average total amount of donations,PR,NA,
Sex,Male,2013,gs1datot,245.68434419398116,8.314029264472012,205.64959403738112,285.7190943505812,968,Total amount of donations,Average total amount of donations,QC,NA,
Sex,Female,2013,gs1datot,283.3108458938437,16.54373586320496,191.4469458332643,375.1747459544231,1212,Total amount of donations,Average total amount of donations,QC,NA,*
Education,Less than High School,2013,gs1datot,615.123152064914,31.803703873437648,231.6915841896456,998.5547199401825,63,Total amount of donations,Average total amount of donations,AB,NA,*
Education,Graduated from High school,2013,gs1datot,760.9354968916683,26.09321918850262,371.77961636304894,1150.0913774202877,236,Total amount of donations,Average total amount of donations,AB,NA,*
Education,Post-secondary diploma,2013,gs1datot,777.9347396258079,14.189814954030435,561.5792152509929,994.2902640006229,301,Total amount of donations,Average total amount of donations,AB,NA,
Education,University Diploma,2013,gs1datot,1214.6624705644622,12.014262362548092,928.6395637743467,1500.6853773545777,235,Total amount of donations,Average total amount of donations,AB,NA,
Education,Not stated,2013,gs1datot,841.138940223787,29.53897033682927,354.1588759544973,1328.1190044930768,53,Total amount of donations,Average total amount of donations,AB,NA,*
Education,Less than High School,2013,gs1datot,255.60269389698888,10.190098069028902,204.55314821824896,306.6522395757288,538,Total amount of donations,Average total amount of donations,AT,NA,
Education,Graduated from High school,2013,gs1datot,339.5049138916254,10.056840615947761,272.58494616048495,406.42488162276584,833,Total amount of donations,Average total amount of donations,AT,NA,
Education,Post-secondary diploma,2013,gs1datot,378.02628139715966,6.763420391944179,327.91488928093906,428.13767351338026,1077,Total amount of donations,Average total amount of donations,AT,NA,
Education,University Diploma,2013,gs1datot,552.255957465763,7.022817077668122,476.2408599277288,628.2710550037972,851,Total amount of donations,Average total amount of donations,AT,NA,
Education,Not stated,2013,gs1datot,193.8159881132078,9.140766036723669,159.09274478289962,228.53923144351597,207,Total amount of donations,Average total amount of donations,AT,NA,
Education,Less than High School,2013,gs1datot,360.5481205425975,33.136460718763985,126.38556619530428,594.7106748898907,113,Total amount of donations,Average total amount of donations,BC,NA,*
Education,Graduated from High school,2013,gs1datot,427.43989910176083,19.188382893711278,266.68599626565594,588.1938019378657,366,Total amount of donations,Average total amount of donations,BC,NA,*
Education,Post-secondary diploma,2013,gs1datot,600.579194315872,11.560910041685812,464.4941510039061,736.6642376278378,463,Total amount of donations,Average total amount of donations,BC,NA,
Education,University Diploma,2013,gs1datot,1058.9682430935354,15.314309405265183,741.113684281313,1376.8228019057578,442,Total amount of donations,Average total amount of donations,BC,NA,
Education,Not stated,2013,gs1datot,1075.079798800913,27.939020155710732,486.37176376114303,1663.787833840683,112,Total amount of donations,Average total amount of donations,BC,NA,*
Education,Less than High School,2013,gs1datot,348.8705903332124,25.006568541594522,177.8822282876706,519.8589523787542,201,Total amount of donations,Average total amount of donations,ON,NA,*
Education,Graduated from High school,2013,gs1datot,416.42318694682916,13.19105023176801,308.76120543426134,524.085168459397,664,Total amount of donations,Average total amount of donations,ON,NA,
Education,Post-secondary diploma,2013,gs1datot,447.0297231212691,7.643127696056262,380.06353061151145,513.9959156310268,788,Total amount of donations,Average total amount of donations,ON,NA,
Education,University Diploma,2013,gs1datot,832.0674602167294,7.076251563257929,716.6663749222624,947.4685455111963,847,Total amount of donations,Average total amount of donations,ON,NA,
Education,Not stated,2013,gs1datot,421.8177391664959,18.175125540583142,271.55532917819596,572.0801491547959,141,Total amount of donations,Average total amount of donations,ON,NA,*
Education,Less than High School,2013,gs1datot,412.44918624866386,14.753628917728632,293.18298190332155,531.7153905940062,254,Total amount of donations,Average total amount of donations,PR,NA,
Education,Graduated from High school,2013,gs1datot,473.1827170506209,9.941119469898197,380.98667914827456,565.3787549529673,531,Total amount of donations,Average total amount of donations,PR,NA,
